"Time (s),""Linear Acceleration x (m/s^2)"",""Linear Acceleration y (m/s^2)"",""Linear Acceleration z (m/s^2)"""
6.632442900E-2,0.000000000E0,0.000000000E0,0.000000000E0
7.634557500E-2,6.058096886E-2,-9.645462036E-3,-7.764995098E-3
8.636354400E-2,7.501369715E-2,3.817462921E-2,-1.369404793E-2
9.638474200E-2,7.945874333E-2,-3.073024750E-2,7.203161716E-3
1.064058880E-1,7.324211299E-2,-3.811836243E-2,2.248930931E-2
1.164072420E-1,5.309249461E-2,2.197551727E-2,1.627874374E-2
1.264284400E-1,-9.837642312E-3,8.026504517E-2,-1.731652021E-2
1.364495860E-1,-9.647179395E-2,9.316062927E-2,-6.988048553E-2
1.464777630E-1,-1.344392449E-1,6.355190277E-2,-1.549345255E-2
1.564989610E-1,-1.097842827E-1,2.476119995E-2,-1.862877607E-2
1.665201060E-1,-9.273414314E-2,-3.641414642E-2,-4.831594229E-2
1.765271380E-1,-8.909820765E-2,-8.621406555E-2,-8.485019207E-2
1.865482840E-1,-7.103745639E-2,-6.860160828E-2,-3.429740667E-2
1.965694810E-1,-5.253813043E-2,-1.040649414E-2,-8.534413576E-2
2.066187520E-1,-3.771332279E-2,2.817821503E-2,-1.606560349E-1
2.166398980E-1,-8.689814806E-2,1.732730865E-2,-8.625984192E-2
2.266610960E-1,-1.677499264E-1,4.922866821E-3,-7.529872656E-2
2.366700020E-1,-1.996600628E-1,-1.804924011E-2,1.191568375E-2
2.466912000E-1,-1.761423796E-1,1.018524170E-3,1.132400036E-1
2.567123460E-1,-1.296171993E-1,5.784988403E-2,4.192239046E-2
2.667321380E-1,-1.062375605E-1,4.599094391E-2,1.378059387E-3
2.767533360E-1,-9.810566902E-2,2.566051483E-2,8.860933781E-2
2.867744810E-1,-7.711336017E-2,3.377819061E-2,4.426676035E-2
2.967660440E-1,-8.953115344E-2,3.931522369E-2,-2.352273464E-2
3.067871900E-1,-1.293682605E-1,4.696273804E-2,-2.005934715E-2
3.168083880E-1,-1.794101298E-1,4.286575317E-2,-3.996843100E-2
3.268189090E-1,-1.868278235E-1,-4.169464111E-2,-8.334696293E-3
3.368401060E-1,-1.923374236E-1,-1.186628342E-1,3.845959902E-2
3.468612520E-1,-2.351104468E-1,-1.168632507E-1,7.886737585E-2
3.569014090E-1,-2.515509725E-1,-3.888416290E-2,1.851727366E-1
3.669225540E-1,-1.777193546E-1,-2.848625183E-3,1.956172585E-1
3.769437520E-1,-1.068568379E-1,4.370498657E-2,1.462043524E-1
3.869480750E-1,-5.918323994E-2,8.889102936E-2,1.007552147E-1
3.969692210E-1,-1.096945256E-2,7.705974579E-2,1.125633717E-1
4.069904190E-1,2.867221832E-3,3.076076508E-2,1.243261695E-1
4.170243770E-1,-1.867560297E-2,-4.876136780E-3,1.432743073E-1
4.270455230E-1,-5.390721560E-2,-1.387691498E-2,1.321047544E-1
4.370666690E-1,-4.372354597E-2,6.113052368E-4,7.184362411E-2
4.470641170E-1,-4.763791710E-2,-2.497863770E-2,5.929923058E-2
4.570853150E-1,-4.805058241E-3,-7.562828064E-2,9.373986721E-2
4.671065130E-1,2.029170841E-2,-1.063737869E-1,1.417472959E-1
4.771121900E-1,5.144257843E-2,-5.223464966E-2,1.661813259E-1
