"Time (s),""Linear Acceleration x (m/s^2)"",""Linear Acceleration y (m/s^2)"",""Linear Acceleration z (m/s^2)"""
3.141035400E-2,1.385640502E-1,1.307659149E-1,1.017738581E-1
4.141035400E-2,1.385669708E-1,1.305036545E-1,9.798699617E-2
5.140935400E-2,1.385921240E-1,1.302480698E-1,9.421890974E-2
6.140868700E-2,1.386166811E-1,1.299934387E-1,9.048348665E-2
7.140743700E-2,1.331104636E-1,1.303434372E-1,9.326696396E-2
8.140623700E-2,1.282449067E-1,1.306285858E-1,9.514009953E-2
9.140523700E-2,1.239773333E-1,1.308574677E-1,9.656280279E-2
1.014040940E-1,1.204628944E-1,1.310291290E-1,9.760850668E-2
1.114029690E-1,1.178790033E-1,1.311330795E-1,9.794288874E-2
1.214019690E-1,1.168242395E-1,1.311645508E-1,9.787213802E-2
1.314009690E-1,1.161397696E-1,1.311521530E-1,9.738433361E-2
1.413999690E-1,1.152685285E-1,1.311283112E-1,9.665983915E-2
1.513989690E-1,1.141611636E-1,1.311826706E-1,9.692901373E-2
1.613981220E-1,1.128027141E-1,1.312904358E-1,9.776401520E-2
1.713972640E-1,1.112420559E-1,1.314229965E-1,9.906250238E-2
1.813963970E-1,1.095203459E-1,1.315841675E-1,1.005831361E-1
1.913953970E-1,1.077369750E-1,1.317052841E-1,1.013228893E-1
2.013945140E-1,1.062803268E-1,1.317787170E-1,1.018010378E-1
2.113935690E-1,1.049195528E-1,1.318569183E-1,1.024118066E-1
2.213925690E-1,1.036511660E-1,1.318855286E-1,1.020681262E-1
2.313916190E-1,1.027483642E-1,1.319007874E-1,1.019965410E-1
2.413906190E-1,1.016941667E-1,1.319246292E-1,1.019176245E-1
2.513895730E-1,1.006370783E-1,1.319999695E-1,1.022543311E-1
2.613885730E-1,9.959429502E-2,1.320343018E-1,1.023408175E-1
2.713875310E-1,9.835830331E-2,1.320781708E-1,1.024898887E-1
2.813864510E-1,9.684556723E-2,1.321306229E-1,1.023899317E-1
2.913854120E-1,9.454751015E-2,1.322183609E-1,1.025071144E-1
3.013843370E-1,9.156703949E-2,1.323318481E-1,1.028782725E-1
3.113833010E-1,8.863392472E-2,1.324186325E-1,1.025685072E-1
3.213822320E-1,8.575397730E-2,1.324949265E-1,1.021014452E-1
3.313811320E-1,8.299708366E-2,1.325836182E-1,1.021040678E-1
3.413800320E-1,8.020451665E-2,1.326713562E-1,1.017210484E-1
3.513789320E-1,8.390980959E-2,1.342411041E-1,1.261704564E-1
3.613777650E-1,8.744439483E-2,1.357192993E-1,1.481247544E-1
3.713766980E-1,9.046435356E-2,1.371154785E-1,1.682253480E-1
3.813755980E-1,9.312385321E-2,1.383914948E-1,1.862351894E-1
3.913744310E-1,9.578782320E-2,1.395015717E-1,2.014859319E-1
4.013733310E-1,-4.254627228E-2,-7.499217987E-2,-1.320892572E-1
4.113721970E-1,-3.990566730E-2,-7.408142090E-2,-1.198207736E-1
4.213710630E-1,-3.740647435E-2,-7.328128815E-2,-1.089478135E-1
4.313698960E-1,3.435783386E-1,-3.901863098E-2,-5.062154531E-1
4.413686960E-1,3.186007440E-1,-4.005718231E-2,-3.741309047E-1
4.513675290E-1,3.110516369E-1,-7.663822174E-2,-5.702213049E-1
4.613662620E-1,3.245653510E-1,-5.520343781E-2,-2.635603547E-1
4.713649620E-1,4.000009298E-1,-4.576206207E-2,-3.970803022E-1
4.813636950E-1,4.126788974E-1,-1.688098907E-2,-1.773656607E-1
4.913624610E-1,3.392016590E-1,1.429843903E-2,-3.794251680E-1
5.013611270E-1,3.107991517E-1,2.409172058E-2,-2.239049077E-1
5.113598600E-1,2.683305442E-1,2.660751343E-2,-4.890359044E-1
5.213585930E-1,3.009151220E-1,2.939891815E-2,-2.895004153E-1
5.313572590E-1,2.165875733E-1,4.650497437E-2,-3.473228216E-1
5.413559590E-1,1.315188408E-1,4.199886322E-2,-8.215475082E-2
5.513546920E-1,-8.642017841E-3,6.571865082E-2,-2.332316637E-1
5.613534250E-1,-4.425892234E-2,1.500797272E-2,-1.068550348E-1
5.713521910E-1,-4.294380546E-2,2.375602722E-2,-2.317621708E-1
5.813509570E-1,-3.491044044E-3,-2.985191345E-2,-3.106904030E-2
5.913497230E-1,-4.178413749E-2,4.540061951E-2,-9.943997860E-2
